word	C	count	sigma_nor
electromagnetic	2.14317003709	8	1.35110627364
example	2.14310540999	10	1.35398990948
investigation	2.13128691868	4	1.27787723443
end	2.12026870515	10	1.3487647539
line	2.11808993884	36	1.27292453637
new	2.11591780559	13	1.34272064649
natural	2.09812499578	28	1.29103679302
experience	2.09474306167	29	1.28762483354
accelerated	2.09108853188	12	1.33973748784
meet	2.08868216462	4	1.26632537943
was	2.08162141786	49	1.24116975899
satisfied	2.07961437714	11	1.33883023566
slab	2.07937913609	15	1.32931590489
diagonals	2.07209866756	3	1.19945269664
importance	2.06669820247	10	1.33650754722
seen	2.06212306314	13	1.33128339158
temperature	2.06086204538	7	1.32489719344
flat	2.04746687128	6	1.30998068636
something	2.04044981506	13	1.32667546054
form	2.03889723332	26	1.28702894302
systems	2.01577493116	20	1.30115192809
corresponding	2.00880343974	15	1.31495672896
between	2.00639444879	34	1.26096102142
connection	1.99566800406	15	1.31228422211
delicacy	1.98636119995	4	1.2385820683
sphere	1.98115302811	13	1.31406842058
attempts	1.97698818786	3	1.17308499881
indefinitely	1.9731752758	4	1.23500683622
axes	1.9681014606	3	1.1706213109
spherical	1.96727695293	21	1.28923278361
independently	1.9632551238	4	1.23231708574
every	1.95381410182	43	1.23477315842
several	1.94337298704	3	1.16376577909
while	1.94158017072	3	1.16326875248
inertia	1.9329207358	7	1.29308683131
01	1.92184097045	4	1.22108805027
confirmation	1.91839936807	3	1.15684228506
suppose	1.91527293615	12	1.30147150221
influences	1.91182462362	6	1.27524866019
whether	1.90733108513	17	1.28929326432
must	1.90538211487	71	1.19047756359
somewhat	1.90364404886	7	1.28580769671
certain	1.90190915092	10	1.29880296425
difficulties	1.89748820653	9	1.29587781397
rotation	1.89530593765	7	1.28373457164
specially	1.89304064964	3	1.14981202901
pass	1.88663051868	5	1.24750876276
galilei	1.86909755373	10	1.29129550197
results	1.86507742963	22	1.26803979277
data	1.86348786629	8	1.28353727192
tested	1.86205304088	5	1.24102762591
moving	1.85060598751	37	1.2313896442
subject	1.85000032963	5	1.23784929852
equality	1.8430544951	6	1.25763964865
now	1.84096503963	44	1.21758859334
rectangular	1.83900622217	3	1.13483193996
transformations	1.8358848121	5	1.23412700441
arrangement	1.8351622209	6	1.25561878363
constructions	1.83450092928	4	1.19740666744
detail	1.82879043313	9	1.27973499267
see	1.82474257618	24	1.25587702679
presentation	1.82243493986	3	1.13023784511
living	1.81566361018	3	1.12836061375
us	1.81189823837	56	1.19661608947
continues	1.81126343406	3	1.12714074277
often	1.81097534276	3	1.12706087455
fundamental	1.78057279411	26	1.24362413231
ends	1.77607032624	3	1.11738407625
difference	1.76764941528	9	1.26536788183
7	1.75582204923	6	1.23530324798
lit	1.75322301574	3	1.11105006362
furthermore	1.74951077888	3	1.11002091163
lengths	1.74903268935	8	1.25588580588
second	1.736656344	23	1.2428545518
said	1.7304362757	3	1.10473284308
states	1.72374907285	3	1.1028789344
actually	1.72222032196	3	1.10245511526
equal	1.72004779386	20	1.24649197432
suspended	1.7027537511	3	1.09705835289
differ	1.70071219587	7	1.23535225154
astronomers	1.69939441484	5	1.19813417593
inclined	1.6937622336	3	1.09456561374
unique	1.68642058369	5	1.19471294712
experimental	1.67526551057	6	1.21467625412
solar	1.66980466709	5	1.19033129209
speak	1.66919789072	7	1.22751677243
ii	1.6632516822	6	1.21160003997
pointers	1.65080239605	3	1.08265575881
immaterial	1.64881415054	3	1.08210455292
traverses	1.64635066053	5	1.18414641716
effect	1.64402355108	13	1.24239160624
attached	1.6410689957	9	1.23562361223
rate	1.63739058284	7	1.21960844333
unit	1.63691390101	7	1.21948992475
sent	1.62294727274	4	1.14004599915
instance	1.61986634742	11	1.23628957268
quickly	1.61940734114	5	1.1770414025
nature	1.60778366657	37	1.19584903615
been	1.60613040223	57	1.17024765869
involved	1.59969079946	4	1.1337402379
astronomy	1.59654533954	4	1.13288737775
conception	1.59519232884	11	1.23078636209
finally	1.58841350563	6	1.19243726766
by	1.58562673023	272	1.08858406151
reaching	1.58470671781	4	1.1296774533
transition	1.58456860009	3	1.06429361067
compelled	1.58320146267	3	1.063914596
without	1.5734527881	33	1.19698717447
concerned	1.56845394969	3	1.05982610894
joining	1.55890435518	3	1.05717865281
purely	1.55769851257	8	1.20966098117
later	1.53862397687	11	1.21816954606
dilemma	1.53853761358	3	1.05153233402
transmitted	1.52943545257	8	1.20283284927
travel	1.5226995097	4	1.11286481601
surfaces	1.51668136164	6	1.17406981397
proportional	1.51328138173	7	1.18875086775
free	1.51001287601	7	1.18793821114
found	1.50545468428	13	1.21293059611
had	1.49964336605	16	1.21063056654
marble	1.49658212454	14	1.21112211107
did	1.49303104936	7	1.18371597786
range	1.48661857777	3	1.03713869988
for	1.47713846099	232	1.08815941156
two	1.47648774503	92	1.1296370373
particles	1.47600725506	5	1.13922647335
down	1.4750381961	4	1.09994192522
process	1.47319021074	18	1.20340314998
imagine	1.46984569038	30	1.18542879614
most	1.46491421816	19	1.20062922457
coincidence	1.46487734156	3	1.03111132678
indicate	1.46434254378	4	1.09704190555
comes	1.46085180364	5	1.1352299463
attraction	1.45963937369	4	1.09576668779
absolute	1.45901797215	5	1.13474636077
expansion	1.45570084575	3	1.02856730567
strokes	1.45325658354	4	1.09403605777
executing	1.44012467774	3	1.02424908865
never	1.43503002601	5	1.12842068476
slightest	1.43008914093	3	1.02146691362
role	1.4200605962	3	1.01868667701
referred	1.41411907965	8	1.17497332509
escape	1.41168881562	3	1.01636574896
10	1.4111192858	6	1.14703999956
section	1.40651530218	55	1.14761773349
cloud	1.40507334573	6	1.14549189967
thought	1.40475842055	11	1.18831262007
juncture	1.4006676794	3	1.01331033393
measurement	1.39211996692	7	1.15862620751
degree	1.38304391426	3	1.00842445683
determined	1.3774152132	11	1.18221408255
frequently	1.37462160489	4	1.072714966
8a	1.37137975844	3	1.00519077599
above	1.37128668784	23	1.17861196979
difficult	1.36748924184	6	1.13586826026
ds2	1.3660678343	7	1.15214880178
physicist	1.3646729864	6	1.13514714086
due	1.36363658003	5	1.10959407052
moment	1.36284959245	4	1.06952310199
up	1.35867587301	22	1.1775545646
obtained	1.35234482934	23	1.17528144171
them	1.35025511072	13	1.17993374541
less	1.34939166797	15	1.18079426042
study	1.34816816332	3	0.998755771897
apply	1.34635278654	5	1.10503629483
measurements	1.34576720602	11	1.17515541687
correctly	1.34499947308	4	1.0646832198
standard	1.34380319331	5	1.1043639613
path	1.34308644202	6	1.12961977429
significance	1.34194414862	6	1.12932728309
to	1.33040630467	876	1.04288411398
explained	1.33035868894	3	0.993818410205
original	1.32933223252	8	1.15448949302
potential	1.32244017549	5	1.09873048486
gives	1.32031713298	3	0.991034566467
described	1.31778084704	7	1.1401430895
part	1.31224967754	38	1.15153669502
increasing	1.31112089052	4	1.05549737934
know	1.30498098619	9	1.15664858279
essential	1.29579967984	3	0.98423753634
problem	1.29464790587	14	1.16914232301
no	1.29318970636	55	1.13356571813
available	1.29269107553	5	1.09088557948
influence	1.26570222484	13	1.16195702751
words	1.26300792328	7	1.12652476291
iii	1.26086457505	5	1.08249285885
theories	1.25073813614	7	1.12347409558
specification	1.24680106626	9	1.14297728015
behaviour	1.24648708679	23	1.15666858049
may	1.24636981138	40	1.14012907879
things	1.2450180065	11	1.15268465236
contrast	1.24494075922	4	1.03755329546
only	1.24432050394	83	1.11084111186
became	1.23585286924	4	1.03508920455
neighbourhood	1.23073877222	4	1.03370256804
such	1.23051121352	70	1.11619974984
any	1.22870501008	34	1.14319944279
about	1.22828493968	23	1.15346811513
infinitely	1.22292902198	6	1.09885273283
observations	1.22151334742	7	1.11620786456
arbitrary	1.21882911771	9	1.13640434271
define	1.21214589305	3	0.961046003931
played	1.20826885048	3	0.959971162468
under	1.19978750313	20	1.15033102103
close	1.1970463966	3	0.956859935676
trajectory	1.1860694619	3	0.953816774732
derived	1.18431556496	12	1.14237978942
next	1.18170065046	6	1.08829595643
impossible	1.17924247704	8	1.11822899448
leads	1.1789031462	7	1.10561358555
cause	1.17543048063	7	1.10475016818
d	1.17440016923	3	0.950581669786
capable	1.1732115489	8	1.11677196991
flashes	1.16871960212	5	1.05819401971
diagram	1.16830565864	6	1.08486608695
short	1.16815165045	6	1.08482665221
laid	1.15767141476	7	1.100334688
reader	1.15660681382	14	1.14044517684
showed	1.14652352561	3	0.942853363528
either	1.14379888186	4	1.01012968212
understand	1.13733277993	5	1.04991724325
following	1.13395862367	46	1.11979415454
solution	1.13335710262	10	1.12295430077
produced	1.13280602674	8	1.10701031515
that	1.13206255874	375	1.0535144069
possible	1.13180540553	28	1.13317365187
logical	1.12919112381	6	1.07485057135
requires	1.12710740532	8	1.10563357326
appear	1.12625429805	11	1.12619599201
treatment	1.12442079207	5	1.04651232266
differs	1.11939923093	4	1.00351395963
sufficiently	1.11357616279	6	1.07085226518
why	1.11188456119	7	1.08895059011
maintain	1.1048471306	5	1.04135070357
22	1.10102463216	7	1.08625045927
suitable	1.09818073672	3	0.929451180575
26	1.09129454586	4	0.99589365401
taken	1.08682835913	7	1.08272080503
interval	1.08635036388	7	1.0826019599
corresponds	1.08611195602	11	1.1172427783
drop	1.08447693898	3	0.925652045094
circular	1.0802517594	7	1.08108564889
interpretation	1.07781122802	10	1.11024511883
therefore	1.0749669341	9	1.10259914924
expressed	1.07466513922	8	1.09296393629
more	1.07356304091	48	1.11046479159
further	1.07062026076	11	1.1137875624
fourth	1.06897302667	7	1.07828138986
left	1.06856331017	5	1.03178257752
kinetic	1.06516107294	3	0.920297062965
give	1.06011979714	9	1.09911032177
where	1.05974441808	15	1.12186326812
method	1.05820812522	13	1.11784188164
13	1.05483825459	3	0.917435244208
an	1.03576790439	123	1.07739432642
way	1.03513346427	30	1.11627689266
appears	1.03054075455	7	1.06872587962
masses	1.02880262913	9	1.09175131403
star	1.01184004773	7	1.06407627694
during	1.00464230467	15	1.11065231333
facts	0.998537030092	8	1.07457198688
accordance	0.9921198532	15	1.1081045229
account	0.990078274132	5	1.01108589484
both	0.989084620917	20	1.1113863036
whilst	0.984320256007	3	0.897885376682
experiments	0.970756257059	3	0.894124997944
plays	0.965106133289	9	1.07678370884
proceed	0.963756428728	10	1.08414879385
half	0.963661102498	4	0.961287116231
necessary	0.963228227659	8	1.06604165931
